符合條件商品
資料日期：2023年  8月  9日
策略,	基金財務輸出CSV
序號,	代碼,	商品,	成交,	漲幅%,	總量,	CLOSE,	C_MA20,	VOL,	VOL_MA10,	ROE4,	毛利率,	營益率,	利息倍數,	股本,	市值
執行時間：2023-08-09 19:11 符合檔數(1770)
188	,1731.TW,美吾華,21.15,0.71,182,21.15,21.53,182,324,9.6,66,15.4,82,13,28
189	,1732.TW,毛寶,26.6,-0.75,92,26.6,26.89,92,106.3,-1.8,36.4,-2.3,46,4,11
190	,1733.TW,五鼎,26.45,-0.56,139,26.45,26.75,139,201.5,0,0,0,38,10,26
191	,1734.TW,杏輝,32.8,0.77,553,32.8,32.69,553,937.8,8.7,37.3,11.4,10,17,55
192	,1735.TW,日勝化,16.85,-0.3,29,16.85,16.72,29,18.1,5.4,19.9,5.7,3,10,17
193	,1736.TW,喬山,77.2,-1.15,1676,77.2,78.09,1676,1265.8,15,47.4,1,2,30,234
194	,1737.TW,臺鹽,34.5,-0.14,291,34.5,35.08,291,311.3,-0.4,28.4,2.9,118,20,69
195	,1742.TW,台蠟,17.3,-0.29,141,17.3,17.23,141,903.4,8,49.3,28.9,-8,9,16
196	,1752.TW,南光,57.9,-0.52,389,57.9,59.81,389,878.6,15.3,35.5,17.6,86,10,58
197	,1760.TW,寶齡富錦,106,0,826,106,118.88,826,1604.7,4.7,53.4,2.8,45,9,91
198	,1762.TW,中化生,70,-2.1,1751,70,75.66,1751,986.8,21.7,45.6,26.9,61,8,54
199	,1773.TW,勝一,137.5,0,106,137.5,137.75,106,198.9,20.2,32.6,19.8,681,25,344
200	,1776.TW,展宇,17.1,0.29,167,17.1,17.15,167,52.8,2.4,13.1,0.9,6,7,12
201	,1777.TW,生泰,86,-0.35,56,86,84.55,56,92.2,12.5,36.6,24.1,61,4,38
202	,1781.TW,合世,13.1,-1.87,55,13.1,13.67,55,43.7,-13.2,13,-11.9,-4,5,6
203	,1783.TW,和康生,60.7,-0.16,522,60.7,61.68,522,2002.6,18.8,68,31.1,2439,8,51
204	,1784.TW,訊聯,73,0.27,2104,73,67.05,2104,1729.6,10.6,59.6,14,155,5,36
205	,1785.TW,光洋科,37.15,-1.59,2073,37.15,37.32,2073,10516.7,14,11.5,4.8,7,60,222
206	,1786.TW,科妍,85.3,1.31,512,85.3,85.82,512,851.8,8.5,67,34.6,28,7,57
207	,1788.TW,杏昌,141.5,0.35,22,141.5,141.7,22,23.7,12.6,25.4,10.2,36,4,63
208	,1789.TW,神隆,30.75,-0.49,1300,30.75,31.64,1300,2678.8,2.2,37.5,6.2,56,79,243
209	,1795.TW,美時,292,4.1,10914,292,288.65,10914,7079.3,34.2,59.9,36.8,11,26,716
210	,1796.TW,金穎生技,91.5,-0.22,113,91.5,98.45,113,134.5,15,37.5,21.1,30,4,38
211	,1799.TW,易威,22.65,0,18,22.65,22.7,18,33.6,-28.3,47.6,-129.9,-9,11,26
212	,1802.TW,台玻,22.5,2.27,31162,22.5,19.38,31162,46306.2,-7,-0.7,-12,2,291,654
213	,1805.TW,寶徠,8.94,-3.87,56,8.94,9.48,56,61.9,-23.8,-3.9,-767.2,-4,10,7
214	,1806.TW,冠軍,9.87,-1,454,9.87,10.1,454,765.2,-2.4,24.9,2.4,-1,39,39
215	,1808.TW,潤隆,78.1,-1.39,829,78.1,80.58,829,461.2,54.1,46.5,36,2,45,352
216	,1809.TW,中釉,14.9,-1,834,14.9,14.91,834,2262,-3,15.3,-6,4,17,25
217	,1810.TW,和成,20.85,-1.65,1021,20.85,21.33,1021,1405.7,-0.8,24.1,-0.9,6,30,63
218	,1813.TW,寶利徠,19.3,0.52,16,19.3,19.44,16,41.8,0.5,1.7,-20.6,-2,5,9
219	,1815.TW,富喬,14.05,-3.44,4625,14.05,13.94,4625,16893.4,-1.7,9.2,-5,1,44,62
220	,1817.TW,凱撒衛,37.55,0.94,16,37.55,37.37,16,31,6.6,35.1,8.2,51,7,27
221	,1903.TW,士紙,61.7,-1.59,584,61.7,60.66,584,5181.7,-3,43.9,-62.7,9,26,160
222	,1904.TW,正隆,32.45,-0.76,3016,32.45,33.09,3016,9527.3,4.8,17.4,4.3,8,111,360
223	,1905.TW,華紙,27.6,-1.43,13643,27.6,28.84,13643,60848.2,-3,6,-2.6,5,110,304
224	,1906.TW,寶隆,16.1,0,26,16.1,16.1,26,204.8,-3.4,9,-2.5,23,15,24
225	,1907.TW,永豐餘,33.95,-1.16,3616,33.95,35.87,3616,12674.6,-0,12.2,-1,5,166,564
226	,1909.TW,榮成,16.2,-1.52,1843,16.2,16.45,1843,3513.6,-10.8,6.4,-3.6,0,133,215
227	,2002.TW,中鋼,28.15,-0.35,22288,28.15,28.24,22288,26462.9,1.7,5,1.5,10,1573,4429
228	,2006.TW,東和鋼鐵,60.3,-0.82,1894,60.3,57.33,1894,2992.7,15.5,13,8.9,19,73,440
